Run,Jobs,Optimal_Safe,Optimal_Unsafe,Low_Safe,Low_Unsafe,High_Safe,High_Unsafe,CA_MOT_Safe,CA_MOT_Unsafe,Uncertainty_Safe,Uncertainty_Unsafe
292,19,17.099999999999998,1.9000000000000021,11.4,7.6,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
292,20,18.0,2.0,12.0,8.0,18.0,2.0,18.0,2.0,18.0,2.0
292,21,18.707142857142852,2.292857142857148,12.6,8.4,17.16428571428571,3.835714285714289,18.70714285714286,2.292857142857141,18.707142857142852,2.292857142857148
292,22,19.41923076923077,2.5807692307692314,13.2,8.8,16.944230769230767,5.055769230769233,19.228846153846153,2.7711538461538474,19.35576923076923,2.64423076923077
292,23,20.114150943396222,2.885849056603778,13.799999999999999,9.200000000000001,16.01320754716981,6.986792452830191,19.463207547169812,3.5367924528301877,19.9188679245283,3.0811320754717
293,11,9.9,1.0999999999999996,6.6,4.4,9.9,1.0999999999999996,9.9,1.0999999999999996,9.9,1.0999999999999996
293,12,10.799999999999999,1.200000000000001,7.200000000000001,4.799999999999999,10.799999999999999,1.200000000000001,10.799999999999999,1.200000000000001,10.799999999999999,1.200000000000001
293,13,11.7,1.3000000000000007,7.800000000000001,5.199999999999999,11.7,1.3000000000000007,11.7,1.3000000000000007,11.7,1.3000000000000007
293,14,12.599999999999998,1.4000000000000021,8.400000000000002,5.599999999999998,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021
293,15,13.499999999999998,1.5000000000000018,9.000000000000002,5.999999999999998,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018
293,16,14.399999999999999,1.6000000000000014,9.600000000000001,6.399999999999999,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014
293,17,15.299999999999999,1.700000000000001,10.200000000000001,6.799999999999999,15.299999999999999,1.700000000000001,15.299999999999999,1.700000000000001,15.299999999999999,1.700000000000001
293,18,16.2,1.8000000000000007,10.8,7.199999999999999,16.2,1.8000000000000007,16.2,1.8000000000000007,16.2,1.8000000000000007
293,19,17.099999999999998,1.9000000000000021,11.400000000000002,7.599999999999998,17.1,1.8999999999999986,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
293,20,17.999999999999996,2.0000000000000036,12.000000000000002,7.999999999999998,18.0,2.0,17.999999999999996,2.0000000000000036,17.999999999999996,2.0000000000000036
293,21,18.685227272727268,2.3147727272727323,12.600000000000001,8.399999999999999,16.967045454545453,4.0329545454545475,18.685227272727268,2.3147727272727323,18.47045454545454,2.5295454545454596
293,22,19.364835164835164,2.6351648351648365,13.2,8.8,17.18901098901099,4.810989010989012,19.29230769230769,2.7076923076923087,19.147252747252747,2.8527472527472533
293,23,20.04631578947368,2.953684210526319,13.799999999999999,9.200000000000001,17.213684210526313,5.7863157894736865,19.75578947368421,3.24421052631579,19.17473684210526,3.8252631578947387
294,11,9.9,1.0999999999999996,6.6,4.4,9.9,1.0999999999999996,9.9,1.0999999999999996,9.9,1.0999999999999996
294,12,10.8,1.1999999999999993,7.199999999999998,4.800000000000002,10.8,1.1999999999999993,10.8,1.1999999999999993,10.8,1.1999999999999993
294,13,11.700000000000001,1.299999999999999,7.799999999999998,5.200000000000002,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999
294,14,12.6,1.4000000000000004,8.4,5.6,12.6,1.4000000000000004,12.6,1.4000000000000004,12.6,1.4000000000000004
294,15,13.5,1.5,9.0,6.0,13.5,1.5,13.5,1.5,13.5,1.5
294,16,14.4,1.5999999999999996,9.6,6.4,14.4,1.5999999999999996,14.4,1.5999999999999996,14.4,1.5999999999999996
294,17,15.3,1.6999999999999993,10.2,6.800000000000001,15.3,1.6999999999999993,15.3,1.6999999999999993,15.3,1.6999999999999993
294,18,16.200000000000003,1.7999999999999972,10.799999999999999,7.200000000000001,16.200000000000003,1.7999999999999972,16.200000000000003,1.7999999999999972,16.200000000000003,1.7999999999999972
294,19,17.1,1.8999999999999986,11.4,7.6,17.1,1.8999999999999986,17.1,1.8999999999999986,17.1,1.8999999999999986
294,20,18.000000000000004,1.9999999999999964,12.000000000000002,7.999999999999998,18.000000000000004,1.9999999999999964,18.000000000000004,1.9999999999999964,18.000000000000004,1.9999999999999964
294,21,18.721698113207548,2.278301886792452,12.600000000000001,8.399999999999999,17.65188679245283,3.3481132075471685,18.6622641509434,2.3377358490565996,18.721698113207548,2.278301886792452
294,22,19.433333333333334,2.5666666666666664,13.2,8.8,17.233333333333334,4.766666666666666,19.12777777777778,2.87222222222222,19.311111111111117,2.688888888888883
294,23,19.97368421052632,3.0263157894736814,13.799999999999999,9.200000000000001,17.06842105263158,5.931578947368418,19.368421052631582,3.6315789473684177,19.671052631578952,3.3289473684210478
295,11,9.899999999999999,1.1000000000000014,6.6,4.4,9.9,1.0999999999999996,9.899999999999999,1.1000000000000014,9.899999999999999,1.1000000000000014
295,12,10.799999999999999,1.200000000000001,7.199999999999999,4.800000000000001,10.8,1.1999999999999993,10.799999999999999,1.200000000000001,10.799999999999999,1.200000000000001
295,13,11.7,1.3000000000000007,7.8,5.2,11.700000000000001,1.299999999999999,11.7,1.3000000000000007,11.7,1.3000000000000007
295,14,12.599999999999998,1.4000000000000021,8.4,5.6,12.6,1.4000000000000004,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021
295,15,13.499999999999998,1.5000000000000018,9.0,6.0,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018
295,16,14.399999999999999,1.6000000000000014,9.6,6.4,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014
295,17,15.299999999999997,1.7000000000000028,10.200000000000001,6.799999999999999,15.299999999999997,1.7000000000000028,15.299999999999997,1.7000000000000028,15.299999999999997,1.7000000000000028
295,18,16.199999999999996,1.8000000000000043,10.8,7.199999999999999,16.199999999999996,1.8000000000000043,16.199999999999996,1.8000000000000043,16.199999999999996,1.8000000000000043
295,19,17.099999999999998,1.9000000000000021,11.400000000000002,7.599999999999998,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
295,20,17.999999999999996,2.0000000000000036,12.000000000000002,7.999999999999998,17.999999999999996,2.0000000000000036,17.999999999999996,2.0000000000000036,17.999999999999996,2.0000000000000036
295,21,18.70515463917525,2.2948453608247483,12.600000000000001,8.399999999999999,18.70515463917525,2.2948453608247483,18.70515463917525,2.2948453608247483,18.70515463917525,2.2948453608247483
295,22,19.42285714285714,2.57714285714286,13.200000000000003,8.799999999999997,18.102857142857136,3.897142857142864,19.23428571428571,2.7657142857142887,18.857142857142854,3.142857142857146
295,23,20.140540540540538,2.859459459459462,13.800000000000002,9.199999999999998,17.902702702702697,5.0972972972973025,19.518918918918917,3.481081081081083,19.581081081081077,3.418918918918923
296,11,9.9,1.0999999999999996,6.6,4.4,9.9,1.0999999999999996,9.9,1.0999999999999996,9.9,1.0999999999999996
296,12,10.8,1.1999999999999993,7.199999999999999,4.800000000000001,10.8,1.1999999999999993,10.8,1.1999999999999993,10.8,1.1999999999999993
296,13,11.700000000000001,1.299999999999999,7.8,5.2,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999
296,14,12.6,1.4000000000000004,8.4,5.6,12.6,1.4000000000000004,12.6,1.4000000000000004,12.6,1.4000000000000004
296,15,13.5,1.5,9.0,6.0,13.5,1.5,13.5,1.5,13.5,1.5
296,16,14.400000000000002,1.5999999999999979,9.6,6.4,14.400000000000002,1.5999999999999979,14.400000000000002,1.5999999999999979,14.400000000000002,1.5999999999999979
296,17,15.3,1.6999999999999993,10.2,6.800000000000001,15.3,1.6999999999999993,15.3,1.6999999999999993,15.3,1.6999999999999993
296,18,16.2,1.8000000000000007,10.799999999999999,7.200000000000001,16.2,1.8000000000000007,16.2,1.8000000000000007,16.2,1.8000000000000007
296,19,17.099999999999998,1.9000000000000021,11.4,7.6,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
296,20,18.0,2.0,12.0,8.0,18.0,2.0,18.0,2.0,18.0,2.0
296,21,18.623684210526317,2.376315789473683,12.600000000000001,8.399999999999999,17.407894736842106,3.592105263157894,18.623684210526314,2.3763157894736864,18.34736842105263,2.6526315789473713
296,22,19.184745762711863,2.815254237288137,13.200000000000003,8.799999999999997,17.61864406779661,4.381355932203391,19.0728813559322,2.9271186440678,18.177966101694913,3.8220338983050866
296,23,19.604761904761904,3.3952380952380956,13.800000000000002,9.199999999999998,17.25,5.75,19.330952380952382,3.6690476190476176,18.454761904761902,4.545238095238098
297,11,9.9,1.0999999999999996,6.600000000000001,4.399999999999999,9.9,1.0999999999999996,9.9,1.0999999999999996,9.9,1.0999999999999996
297,12,10.8,1.1999999999999993,7.200000000000001,4.799999999999999,10.8,1.1999999999999993,10.8,1.1999999999999993,10.8,1.1999999999999993
297,13,11.700000000000001,1.299999999999999,7.800000000000001,5.199999999999999,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999
297,14,12.599999999999998,1.4000000000000021,8.400000000000002,5.599999999999998,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021
297,15,13.499999999999998,1.5000000000000018,9.000000000000002,5.999999999999998,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018
297,16,14.399999999999999,1.6000000000000014,9.600000000000001,6.399999999999999,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014,14.399999999999999,1.6000000000000014
297,17,15.299999999999999,1.700000000000001,10.2,6.800000000000001,15.3,1.6999999999999993,15.299999999999999,1.700000000000001,15.299999999999999,1.700000000000001
297,18,16.2,1.8000000000000007,10.8,7.199999999999999,16.2,1.8000000000000007,16.2,1.8000000000000007,16.2,1.8000000000000007
297,19,17.099999999999998,1.9000000000000021,11.4,7.6,17.1,1.8999999999999986,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
297,20,18.0,2.0,12.000000000000002,7.999999999999998,18.0,2.0,18.0,2.0,18.0,2.0
297,21,18.71287128712871,2.28712871287129,12.6,8.4,18.33861386138614,2.66138613861386,18.650495049504947,2.349504950495053,18.71287128712871,2.28712871287129
297,22,19.42285714285714,2.57714285714286,13.2,8.8,18.48,3.5199999999999996,19.045714285714283,2.9542857142857173,19.045714285714283,2.9542857142857173
297,23,19.93333333333333,3.06666666666667,13.799999999999999,9.200000000000001,18.78333333333333,4.216666666666669,19.29444444444444,3.7055555555555593,19.358333333333327,3.641666666666673
298,11,9.899999999999999,1.1000000000000014,6.599999999999999,4.400000000000001,9.899999999999999,1.1000000000000014,9.899999999999999,1.1000000000000014,9.899999999999999,1.1000000000000014
298,12,10.799999999999999,1.200000000000001,7.200000000000001,4.799999999999999,10.8,1.1999999999999993,10.799999999999999,1.200000000000001,10.799999999999999,1.200000000000001
298,13,11.699999999999998,1.3000000000000025,7.8,5.2,11.700000000000001,1.299999999999999,11.699999999999998,1.3000000000000025,11.699999999999998,1.3000000000000025
298,14,12.599999999999998,1.4000000000000021,8.4,5.6,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021,12.599999999999998,1.4000000000000021
298,15,13.499999999999996,1.5000000000000036,9.0,6.0,13.499999999999998,1.5000000000000018,13.499999999999996,1.5000000000000036,13.499999999999996,1.5000000000000036
298,16,14.399999999999997,1.6000000000000032,9.600000000000001,6.399999999999999,14.399999999999999,1.6000000000000014,14.399999999999997,1.6000000000000032,14.399999999999997,1.6000000000000032
298,17,15.299999999999997,1.7000000000000028,10.200000000000001,6.799999999999999,15.299999999999999,1.700000000000001,15.299999999999997,1.7000000000000028,15.299999999999997,1.7000000000000028
298,18,16.199999999999996,1.8000000000000043,10.8,7.199999999999999,16.2,1.8000000000000007,16.199999999999996,1.8000000000000043,16.199999999999996,1.8000000000000043
298,19,17.099999999999998,1.9000000000000021,11.400000000000002,7.599999999999998,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021,17.099999999999998,1.9000000000000021
